review_description,rating,company
ابلكيشن سئ وخدمة العملاء سيئه جد,negative,talbat
لذيذه,positive,talbat
تطبيق سيء جداً جداً جداً جداً جداً جداً,negative,talbat
حلووو,positive,talbat
الخسمؤًغخليمل,positive,talbat
واو طعم ولا اروع.,positive,talbat
جاري حذف التطبيق بسبب رسوم الخدمة 👎🏼👎🏼👎🏼,negative,talbat
تطبيق سيء بكون بمنطقه بعطيني مطاعم قريبه وبعيده اروح على موقع ثاني اقرب على مطاعم ضهرتلي بلموقع الاول ما تضهر الامطاعم الي ضهرت من قبل,negative,talbat
شركه فاشله تم قيد مبالغ مرتين ولم يتم استراجع المبالغ ويتم التبرير خلل في السيتسم,negative,talbat
بقي سيئ جدا وبياخد خدمه ع الأوردر ومفيش خصومات وبيعلق كمان طلبك جاري حذفه,negative,talbat
روعه ❤️❤️,positive,talbat
تطبيق سيئ جداً واصبح يتسغل شهرته باستغلال الزبائن والنصب عليهم ومن خلال عروضه المزيفة وتعامله سيئ مع المشاكل التقنية وانا تم سحب مني من بطاقة الفيزا مبلغ من المال ولم يرجع لي منذ اسبوعين,negative,talbat
Excellent service,positive,talbat
يدعم مناطق محدد متكدر تطلب من المطاعم الي اتريدة لان بعيدة,negative,talbat
فكرت التطبيق ناجح لاكن المعاملة في التوصيل و كل التفاصيل كتير فاشلة جدا طلبات توصل متاخرة جدا ما في احطيات للنقود الشكاوى الدعم جدا فاشلة و ما في رقم للادارة يعني تطبيق فاشل و محادثتي مع الدعم و لم يتم حل المشكلة سوف اقاضي طلبات إن شاء الله,negative,talbat
كثير المشاكل,negative,talbat
كويس جدا,positive,talbat
غير جيد,positive,talbat
فاشل بكل صراحه لا انصح به,negative,talbat
تاخير والطلبات مبتوصلش,negative,talbat
سيى جدٱ,negative,talbat
زباله واعلانات بتطلعلي دايما ملهاش داعيه خفوووو مشااان الله,negative,talbat
نجمه واحد يسحب الفولوس,negative,talbat
اسوء تطبيق تخبط وعدم متابعة,negative,talbat
الدفع عند الاستلام كويس,positive,talbat
كويس جداً ومسعف,negative,talbat
ليش تم حجب حسابي ممكن اعرف شو السبب يعني انا منيح مني اني بكتب وبقرا وبالخير تيجو تقولو تم حجب الحساب وكمان مارجع المصاري الي بمحفظتي ٧ ساعات استنى لفك حظر حساب من قبل موظف من عندكم ليش بدك تخلو الواحد يلجأ للقضاء او رجعو مصاري بحسابي رجاء على البطاقه الانتمائيه بلاش نتصرف تصرف نندم عليه احنا وانتو رجاء حار بأقصى سرعه من قبل القضاء طبعا,negative,talbat
سئ للغايه لا يرد التحميل معي,negative,talbat
التطبيق جميل,positive,talbat
👍,positive,talbat
اريد طلب اكل بسعر 2500 ما يصير بالتطبيق مو مثل. قبل كنت بطلب بهيك سعر يوصل هسه لحد الأقصى السعر لزم يكون 5000الاف يله اقدر طلب وانا في بغداد,negative,talbat
حلو التطبيق,positive,talbat
حلو جدا,positive,talbat
تطبيق سيئ جدا من اول طلب الي طلبت طلب ولمدة ساعة ونص وانا انتظر فالطلب وما وصل,negative,talbat
كفو,positive,talbat
خدمه رائعه,positive,talbat
تطبيق بخزي,negative,talbat
ممكن كودالقسيمه,negative,talbat
والله راااااإععععع,positive,talbat
زايد بل اسعار,neutral,talbat
سيء ولا يعطي العنوان للمندوب فيتصل عليك يطلب العنوان . نجمة كثير,negative,talbat
ليش مافي توصيل للجزائر,negative,talbat
سيء جذا توصيل عالي و رسوم مرتفعه و لا انصح به,negative,talbat
جميل جدااا و المطورين يردون علي التعليقات بسبب الاداره الرائع لطلبات شكرااا لصانعين التطبيق وعلي اهتمامهم ب العملاء,positive,talbat
الططبيق كثير حلو بجنن,positive,talbat
الخدمة بطيئة جدا وفي زبون بستنى وبضيع وقتو على حساب زبون ثاني صراحة انا رح أحذفو واوقف التعامل معو للعلم الي طالب الطلب ساعتين وللآن ماوصل الطلب,negative,talbat
وايد وايد حلو 😂🥺,positive,talbat
حطيت ٥ نجوم عشان يطلع تعليقي 😏 والله صار لوحده مشهوره طلع السواق سكران 🥂,positive,talbat
انا اسف على التقيم السيء لاكن لا أستطيع تحميل تطبيق طلبات جربت كل الهواتف الي بلبيت بس ما اعرف المشكلة..,neutral,talbat
تطبيق ممممممتااااااز جدااااااااا ولكن هناك مشكلة صغيرة أنه جيد جداااااااااااا,positive,talbat
جدا جدا,positive,talbat
التطبيق كان رائع للأسف أصبح سيء فوق ان اسعار الطعام ارتفع و زدتها أسعار التوصيل ليش تاخذون ضربيه قمنا نروح لمطعم نشتري السعر في مينو مطعم غير فطلبات سعره غير اذا نحن نقدر على الأسعار البقيه اللي اللي ما يقدر يدفع الضربيه شبيسوي يطلع ب 70 توصيل ب 5 و فوق ها 5 ضريبه ليش كذا تخلون الناس تندم نزلت التطبيق,negative,talbat
"سيء جدا، و يتم خصم المبلغ من غير اجراء الطلب و لا تعاد لك قيمة الطلب !!!",negative,talbat
شركة زبالة ما بنصح حد ينزل الابلكيشن,negative,talbat
يا جماعة ما حدا ينزل تطبيق نصيحة بسرقو من بطاقاتكم فيزا كارد بنكية وبصيرو يخصمو حركات من حساب بأقل من راحتهم انا مقروس منهم وسركو مني 4 حركات زور ..وبهتان وشتكيت عليهم للبنك ومو راضين يرجعوهن نصيحة الكم ديرو بالكم وانا ما راح اسكت عن حقي راح اوصلها لكل ناس صح انو مبلغ تافه ومش بل مبلغ لكبير بس ما بسكت عن حقي. وذا كل واحد بخذو منو لو دينار بتكون ضاعت ضمير عند نااااس,negative,talbat
نصابين بضحكو ع الناس مشان يوخضو مصاري بعبو بنزين ب خمسة ريال و بوخضو ع الطلب مية ريال,negative,talbat
اسؤ برنامج,negative,talbat
Talabat is the best app,positive,talbat
"اكتشفت انه الاكل لما تطلبه من المطعم مباشر ارخص من طلبات وكل الاسعار فيها زيادة ونصب ،محدش يفرح بالعرض ولا بالخصم ، علشان بتدفعه اضعاف يا صديقي",negative,talbat
ممتاز جدا,positive,talbat
مرررررررره حلو,positive,talbat
Its good and fast delivery,positive,talbat
للاسف انا لغيت البرنامج ونزلته تانى زى ما حضرتك قولت لقيت برضو ابو غالى وكتير من المطاعم طريقة الدفع بطاقة ائتمان ولا يوجد الدفع النقدى يعنى مفيش حل,positive,talbat
انتو بقيتو زفت كدا لية مش عارفين تحلولى مشكلة ابلكيشن بقى زفت وياريت لو اقل من نجمه كنتو خدتوها,negative,talbat
تطبيق سئ جدا ومعظم مندوبين التوصيل قلالة الادب واخر واحد فيهم بيزعقلي ويقولي مش شغلتى اطلع الاوردر انزل خده مني ..ويقولي روح اشتكيني.. انصح باستخدام تطبيق المينيوز كبديل مصرى محترم واللي شغالين فيه محترمين مش زي بتوع طلبات,negative,talbat
مفيد جدا,positive,talbat
محمد مراد النتشه,positive,talbat
جميييييل,positive,talbat
👍👍,positive,talbat
برنامج حرة والأوردر بتاعي قعد 5ساعات ومجاش,negative,talbat
👍👍👍💯,positive,talbat
تتتتت,positive,talbat
الاسعار في تزايد ..والعروض ماتشجع مثل قبل...,negative,talbat
تطبيق مره روعه الصراحه وهايل,positive,talbat
زينننن يجننن يوصل الطلب اللين باب بيتكم..,positive,talbat
حلو اوي بجد,positive,talbat
كان جيد وصار سيئ ما يستاهل,negative,talbat
ممتاز 💗💗,positive,talbat
تطبيق مميز وخدمته سريعة,positive,talbat
تطبيق زباله ساعه وربع عشان سندوتشات فول وطعمية ليه والتعامل خدمة العملاء سي جدا,negative,talbat
كيف يمكنني الحصول على قسائم,negative,talbat
المعامله جدا سيئه تم الغاء الطلب من قبل طلبات من غير أن يخبرني والسبب عدم وجود سائقين ..هل معقول تطبيق عالمي مثل طلبات يرتكب مثل هذا الخطأ,negative,talbat
"بنسبه لي اشوف انه ممتااز و اهم شي يجيب الاكل حار، ومع تحديث جديد صارت توصل طلبات بسرعه خياليه",positive,talbat
سئ جداا,negative,talbat
كاش او من شحن الرصيد تبع الهاتف,positive,talbat
تطبيق جميل و رائع التوصيل ما يستغرق نصف ساعة و الأسعار مقبوله 😀👍 ممتاز,positive,talbat
ممتاز جدا شكرا,neutral,talbat
ممتاز جدا جربوووه,positive,talbat
تطبيق ناجح بأمتياز ..عندكم سرعه بالتوصيل وعنايه بالعميل فقط عندي ملاحظه صغيره مره تم الأشارة لي من صفحتكم انكم اخترتوني ك اكثر من يطلب وربحتوني ايفن الجديد ولكن للأسف ماتواصلتو معي و خيبتو ظني وظن ابني للي مفروض الايفن له هوه 💔ومشكورين سلفاّ ياطلبات .,positive,talbat
حرفيا الطبيق ولا غلطة سرعة التوصيل بالاخص طلبات مارت رهيبه وكل اشي بوصل مثل ما بدك عنجد وين كاينه انا عن هيك تطبيق سفاح للامانه يعطيكم الف عافيه ♥️♥️♥️🥺🥺🥺,positive,talbat
سيئ جداً,negative,talbat
مرحبا .المفروض توضحو بالوصف انه ما يشمل جميع مناطق المملكة .يعني نزلنا التطبيق وبدنا نوصي طلع لا يخدم المنطقة.كل الاحترام,negative,talbat
تطبيق مفهوش عروض,negative,talbat
لؤي٠٣٣٢لؤ٣٤٣س,positive,talbat
رأع,positive,talbat
ما يفتح برنامج كل اوقات لعوزه,negative,talbat
تطبيق سيئ للغاية زيادة علي المنتج الي تطلبة يوجد فايدة خدمة و يزودلك 30 جنيه على طلبك ده غير فلوس التوصيل و ايضا اكواد الخصم لا تعمل,negative,talbat
بصراحه إلي بخاطرك واصلك ٥ نجو,positive,talbat
زفتتت الوحد بدو يوكل يدفع كول مصاري احسن المطعم شورما على ريف خلو توصيل ببلاش .,negative,talbat
اسوء تطبيق بالعالم سحبوا مني فلوس مرتين وما قبل الطلب وجاعدين يقلون لي بترجع فلوسك صار لهم تقريبا اسبوعين ما يستاهلوا حتى نجمه وحده,negative,talbat
يتم حذف النقاط دون سبب و هذا في أوقات متقاربة من بداية الشهر لليوم تم حذف تقريب ال ٢٠٠ نقطة و هذا أمر غريب ...,negative,talbat
🤩,positive,talbat
التطبيق سيئ جدا 3 ساعات اخر شيئ موصل الطلب يقوم بالغاء الطلب و الموظف الاستعلام الموظف اسلام بالغاء الطلب لا تحطوا مجانا أفضل لأنكم ماتوصلوا و أسواء موصل لطلبات انتم و النجمة زيادة,negative,talbat
يجنن,positive,talbat
غير دقيق قلت ادب العمال التوصيل غير دقيق قلت احترام,negative,talbat
من ازبل برامج الل ممكن تقبلك من خدمه عملاء ل مطاعم واكل واوردر يجي حلو مره وزي زفت ١٠ مرات من مطاعم مختلفه وازبل خدمه عملاء ممكن تشوفها ف حياتك,negative,talbat
تطبيق ولا اروع,positive,talbat
أصبح من اسوا التطبيقات,negative,talbat
مقرف ومش شغال وديما المطعم خارج الخدمه ا,negative,talbat
سيا بس الكلمه كلثوم مسخلينه ننام و يتم يطلع دعيات 🤬🤬🤬🤬🤬🤬🤬😤,negative,talbat
تطبيق سئ جدا وحرامي بفعل كود الخصم مش عايز يتفعل,negative,talbat
طلبت كثير بس الاكل كان دايما يوصل متأخر ومافي اي تعويضات او عروض,negative,talbat
حلووو ❤️❤️❤️❤️❤️😭,positive,talbat
سيييييء,negative,talbat
أول تجربة وكان التأخير غير متوقّع تأخير أطول من اللازم تانى تجربة ولم يتم التوصيل,negative,talbat
غير مجدي بالنسبة لي,negative,talbat
قداقدا جميل,positive,talbat
زي الزفت وخسارة فيكو النجمة👍,negative,talbat
🤢🤮🤢🤮🤢🤮🤢🤮🤢🤮🤢🤮🤢🤮🤢🤮🤢,negative,talbat
ليه لما اجي اختار المكان وخلاص يقعد ساعه يقول جاري تحديد الموقع,negative,talbat
اسعار غاليه كثير بنسبه للتوصيل مناطق قريبه كان 25 قرش حاليا 75 قرش وطلب يوصل بارد,negative,talbat
التطبيق لا يعمل ويطلب تحديث ولا يوجد تحديث على القوقل بليه,negative,talbat
انا قمت بوضع هذه النجمه لكي اكتب تعليق فقط لا غير لان خدمت هذا التطبيق بشع جدا اتمنى من تعديل هذه الخدمه البشعه قمت بطلب اكثر من مره ولم يتم استقبال طلبي ذلك بسبب مشكله في اختيار السائق فاضطر الى الطلب مره اخرى وذلك يكون في اوقات متاخره وقد تكون المطاعم قد اغلقت ولذلك انا سئمت من هذه الخدمه التي كل ما اردت الطلب يقول لي الرجاء الطلب مره اخرى لم يتم نجاح طلبات ذلك بسبب لم يتم اختيار السائق اتمنى من كل قلبي ان تعدل هذه الخدمه لانها جدا سيئه,negative,talbat
الله اكبر يجماع احسن نوع,positive,talbat
تجربة فاشلة مفيش خصم كذب وخدمة العملاء سى جداااا وماحدش ليساعد خالص,negative,talbat
تجربة سيئه,negative,talbat
صعب التنزيل,negative,talbat
مش عارف أدخل علي التطبيق,negative,talbat
اعتذر بي برنامج فاشل ياخذ المبلغ وما يقبل الطلب,negative,talbat
مشكلات كثيرة في التطبيق,negative,talbat
التبيق سيئ والنصب كثير يعني طلبنا من مطعم القاضي سناك وجبتين حلبي وسندويش زنجر وصلنا وحده زنجر ووحده فهيتا وضلبنا نتواصل معهم وقلو لنا ان شاء الله بنحكي مع المدير وبنرجعلك المصاري كل يوم هيك رنيينا على المطعم مالو دخل رنينا على طلبات ما الو دخل رنيينا على الي وصلنا الطلب طيب انا نفسي افهم من الي الو دخل لما بطلو يردو علينا وروحو علينا المصاري بنصح كل واحد يتفقد الطلب,negative,talbat
برنامج مقرف,negative,talbat
الخدمه سيئه جدا,negative,talbat
برنامج زباله وتنح ما يوصل طلبات ف اسرع وقت كل همو التقيم خدمه عملاء بس,negative,talbat
قسم بالله اخيس تطبيق بالارض يعلق ويرفع الضغط بشكل لايوصف وحاولت مليون مره اسوي تسجيل دخول مانفع واسوي تسجيل حساب جديد برضو مانفع يعني كيف تبغون الناس تطلب من عندكم وانتو تطبيقكم زي الزفت كذا؟ وطلبت بدون لا اسجل والمندوب اتصل عشان ارسل الموقع وله فوق الساعه ونص ماجاب الطلب ولا يرد حتى قفلوا تطبيقكم احسن لانه فاششللل جدا,negative,talbat
يجنننن التوصيل سريععع فقط عشر دقايق ويوصل مره جميل انصح كل حد يجربه 💗💛💞❤🥰🫂,positive,talbat
سارت خدمتهم زفت وكم مرة تم خصم فلوسي من بطاقة البنك بدون تنفيذ الطلب والغو رقمهم ماتقدر تتصل عليهم ولا تقدر توصلهم حتى الرسايل فقط للطلب الحالي انصح الجميع البحث عن توصيل غيرهم سار تطبيقهم مزعج جدا وكثيرة مشاكلهم.,negative,talbat
مقرففف,negative,talbat
سيئ لا يوصل ل منطقتي,negative,talbat
كان تطبيق ممتاز لكن بعد اخر تحديث الدفع بالبطاقه فيه مشكله تنسحب الفلوس والطلب لم ينفذ وارسل ايميل عشان استرد الفلوس والفلوس فعلا بترجع لكن لحد امتى المشكله دى؟ والدفع الكاش للاسف عمال التوصيل يقول مش معاه تشينج عشان يعطينى باقى الفلوس ومسكت واحد فيهم وصممت يفتح محفظته امامى وفعلا لقيت فلوس واخدت باقى فلوسي هما اسلوبهم استغلالى ياخد الفلوس ويقول بروح اجيب الباقى ويروح مايرد يعنى الواحد بقا يتردد يطلب من طلبات اذا مش معاه فلوس قد الطلب لان الزياده هيروح مش هيرجع طلب ب ٣٧ ريال ادفع ف فيه ١٠٠ ليه,positive,talbat
اسوء تطبيق......لأنو بنصبوا عليكم و هاي نصيحه مني ما حدا يطلب منو لأنو بيجي الطلب ناقص و بوخذوا المصاري كلهااا اسوء تطبيق ......ما بستاهل النجمه وحده و اكثر لأنو كثيرررررررر بخزي و هاي نصيحه من وحده مجربيتو و بتمنى ما حدا يوصي منو رجاءً,negative,talbat
التطبيق غير قابل للفتح كل ما أثبته يعطيني عليك تحديث التطبيق ولما ارجع عالمتجر ما الاقي أي تحديث جديد,negative,talbat
تطبيق زباله كل ما احطه علي موقع يقولي عذرا لا نقوم بالتوصيل الي هذه المنطقه 😡 ..ارجوا حل هذه المشكلة.,negative,talbat
التطبيق سيئ و ما بفتح,negative,talbat
تجربه سيئه جدا,negative,talbat
يوص الطلب بسرعه فاقه,positive,talbat
اختاريت ٣ نجوم لأن المطاعم محدودة جدا وقليلة الموجودة في القائمة لكن من ناحية الخصم وسرعة التوصيل ممتازة جداً,neutral,talbat
وااايد حلو بس في مشكلة ان التطبيق كل ما ادخل يطلعني من البرنامج ... أتمنى حل هذه المشكلة🌹,neutral,talbat
عن جد افضل برنامج ممكن تحملو لحتا توصي اكل و بس كليك تحط الموقع و الرقم برنامج يستحق الشكر ❤,positive,talbat
جميل البرنامج,positive,talbat
واو,positive,talbat
وحش جدا وحرفيا الطلب عقبال ميوصل بيقعد مده كبيره جدا ممكن تدخلها في3ساعات,negative,talbat
عندما اقوم بالدخول عليه يظهر لي تحديث وبيدخلني علي متجر بلا ومش بلاقي التحديث ارجو حل المشكله,negative,talbat
تطبيق جميل ولكن مرة طلبت 4 سلاش لم يأتي غير 3؟؟؟,positive,talbat
محمد علي عبد الله الحمايده,positive,talbat
تحديث سيئ جدا جدا,negative,talbat
برنامج جميل,positive,talbat
لو لو سمحت لما اضيف بطاقة جديدة ببعتلي رمز وبعدين بخصم دينار لما تعبي بيانا البطاقة جربت مرتين وخصم دينارين كيف ارجعم وكل ما جي فيزا من اي مطعم رافض شو هاد وكيف ارجع الدينارين بدي حدا اتواصل معه,negative,talbat
التطبيق يحتوي على مشاكل عند الدفع بستخدام البنفت او بطاقتك البنكية .. فقد قمت بالدفع بستخدام البنفت ولكن تم إلغاء طلبي بسبب مشكلة من التطبيق ولم يتم إعادة أموالي فأتمنى أن تجدوا حل لمشكلتي وإعادة أموالي,negative,talbat
من اسوأ ما يكون ...و خدمة العملاء تتعامل مع المشاكل بشكل رسائل آليه ليس لها علاقة بالمشكلة الخدمة المقدمة تستحق اقل من صفر وفعلا تطبيق لا يتعامل مع المشاكل بصورة احترافية فعلا تطبيق مستفز,negative,talbat
تأخير في الطلبات من سيء إلى اسوأ,negative,talbat
سئ جدا و يوجد مشاكل كثير باستلام الطلب غير طلبي,negative,talbat
معامله سيئة جدآ,negative,talbat
سيء جدآ,negative,talbat
التطبيق مش راضي يفتح ليه,negative,talbat
تطبيق فاشل وسيئ جدا ... في كل مرة اريد فيها ان ادخل التطبيق يتم الخروج منه,negative,talbat
عايز اطلب والتطبيق مش بيفتح,negative,talbat
سيء جدا جدا جدا,negative,talbat
گبور,negative,talbat
الرجاء الرد الابلكيشن معلق ولا يفتح وبقت الخدمة من اسواء الى اسواء انا بستخدم الابلكيشن من ايام اطلب وبعد كدة طلبات والادارة كانت فى الاول احسن بكتير وبتراعى العميل عكس الان اختيارات المطاعم كلها سئ والخدمة اسواء,negative,talbat
اثناء اتمام عملية الطلب تظهر رسالة بان الاتصال غير متوفر,negative,talbat
من سيء الى اسوا يعلق ويلغي الطلب ويتاخر ويغلط بالطلب او ينسى بعض الطلبات او يبدل الغير موجود بدون مايتسل يبلغ الزبون وفوق هذا حل المشكلة ياخذ من وقتك مرات الحل بعد ٣ ايام ومرات ٥ ايام الا نسيت شنو الموضوع وغير هذا يعيدون السؤال عن المشكلة جم مرة لين يفقعون مرارتك,negative,talbat
سيئ مرره خصومات ما تشتغل,negative,talbat
سيء جدا بطيء,negative,talbat
تطبيق حلو,positive,talbat
ليش التطبيق مش راضي يشتغل وصيت قبل نص ساعه بدي اعرف وين صار الطلب ..التطبيق قاعد بخبص مرا بفتح مرا ما بفتح,negative,talbat
خيالية,positive,talbat
Perfect,positive,talbat
تجربتي مع طلبات غير جيدة والسبب ان طلبات يوصل الطلب الى باب العمارة وليس الى باب الشقة كما هو في عمان,negative,talbat
رايع جدا,positive,talbat
ليش ماعم تحسنوا خدمة العملاء وعم تاخدو تقييمات سلبية كتير شو ناطرين,negative,talbat
الموقع كل اشوي يتغير على كيفه,negative,talbat
حلو 🎋,positive,talbat
♥️Nice🎈♥️,positive,talbat
مره حلو جربوه وانت فالبيت يوصل لك اكلك,positive,talbat
التطبيق فاشل...الاسعار غالية...التوصيل المجاني قليل جدا...ما في خصومات...يعني ما في اي ميزة للتطبيق...سيء جدا,negative,talbat
والله جميل جدا,positive,talbat
"⁦8-)⁩⁦O_o⁩⁦8-)⁩⁦8-)⁩⁦8-)⁩⁦8-)⁩⁦=_=⁩⁦8-)⁩⁦8-)⁩⁦:-D⁩⁦:-D⁩⁦:-)⁩⁦:-D⁩⁦:-D⁩⁦:-D⁩⁦:-)⁩⁦:-D⁩⁦:-)⁩⁦:-D⁩⁦:-D⁩⁦:-)⁩⁦:-O⁩⁦>.<⁩⁦>.<⁩⁦:-(⁩⁦:-)⁩⁦:-)⁩⁦:-)⁩⁦:,-)⁩⁦>.<⁩⁦:‑X⁩⁦:-(⁩دد",neutral,talbat
بصراحه تطبيق زباله بمعنى الكلمه و ما بستاهل ولا نجمه يعني اطلب فطار لاطفال و يوصل اوردر خطاء و بقلك استنى ٤ ساعات و صور و ابعت الايميل و سيتم الرد عليك خلال ٢٤ ساعه و بعد يومين بتكب الطلب و ببطلو يردو على الايميل يعني انت بتطلب و ببعتلك اي اشي و ما في رقيب ولا حسيب,negative,talbat
مره حلو بس التوصيل كثير غالي و السعر يزيد على طلبات مثلا اذا كانت سندويشه بالمطعم ١.٦٠ على طلبات ١.٨٠ف يا رب ما يكون زي كذا,positive,talbat
ظظ,positive,talbat
It's OK it's OK I love this app,positive,talbat
انا كده,negative,talbat
ريال,positive,talbat
التوصيل ممتاز وفي الوقت المحدد,positive,talbat
تحايل الاكتروني احذروووو تم سحب مبلغ من داخل الحساب عن طريق التطبيق لا انصح فيه,negative,talbat
تم الحذف الأسعار أعلى من اذا اتصل بالمطعم بعض المطاعم حتى تقدر تطلب منهم الزامي تطلب مع الوجبة اشياء اضافيه ماتبغيها اصلا اسعار التوصيل مبالغ فيها النجمة حتى اعلق فقط,negative,talbat
مو راضي يفتح,negative,talbat
التطبيق كتير ممتاز ❤❤,positive,talbat
سعر غير صحيح على التوصيل,negative,talbat
الدفع الالكتروني غير آمن ولا يوجد طريقة مباشرة للتواصل مع خدمة العملاء,negative,talbat
التطبيق ياخذ ضرائب كبيرة ولديه مشاكل في التوصيل دائما يتأخر الطلب وعدة مرات يصل غير الذي طلبته او يصل بارد ويقوم بوضع وقت توصيل متوقع وكلما تأخر الطلب يعمل التطبيق على تأجيله مثلا طلبت انا ساعة ٢ ووضع معاد توصيل متوقع ساعة ٣ واستمر بتأجيله والساعة الآن ٤ ولم يصل,negative,talbat
ميه ميه,positive,talbat
سئ جدا جدا عملت اوردر والسائق قال تم تسليم الاوردر وانا مستلمتش حاجة وكنت دافعة فيزا وعملت شكوي والمبلغ رجع عندي في طلبات باي وبعدها اتسحب الرصيد من عندي وردهم إن المسؤول عن الساقين يقدر يتحكم في المحفظة عندي وكل يوم شكاوي ولا يوجد أي حل غير الاعتذار السائق سرق الاوردر والمسؤول عن السائقين سرق المبلغ,negative,talbat
سرقوا أموالي...,negative,talbat
تم الخصم من حساب البنك ولم يوصل طلب,negative,talbat
كان جيدا لكنه اصبح سيئا,negative,talbat
ماين كرافت,negative,talbat
اسؤء تطبيق,negative,talbat
أسلوب سئ في التعامل من مندوبين التوصيل,negative,talbat
لم يعمل هذا التطبيق,negative,talbat
خدمه سيئه وتأخير بالاوردرات اكتر من المطاعم بكتييير جدا,negative,talbat
تطبيق سئ معامله سئ جدا وتطبيق سعات يقف جامد وناس الي بيوصلوا الاكل مش محترمين خالص,negative,talbat
احلا اشي العروض,positive,talbat
👌,positive,talbat
زبااااله,negative,talbat
اشي مرتب جد بعد السدخدام,positive,talbat
إلغاء الاشتراك بخدمة طلبات برو صعبة و مخفية و يتجدد الاشتراك بغير رغبتي وحتى عند التواصل مع موظف الخدمة يقول اتبع الخطوات و لا يمكن إلغائه عن طريقة و هذا حالي من أسبوع و الخدمة تسحب من الفيزا ولكن لا أجد حل و الآن أريد إلغاء اشتراكي كن طلبات كاملا,negative,talbat
خدمه جيده ولكن المشكله الكثير من المطاعم الاسعار مبالغ فيها وشي من المطاعم ترسل الطلب بكميه قليله وهذا استغلال من المطاعم لناس,positive,talbat
مايستاهل ولا نجمه مافي اي احترام للمواعيد خصوصا بعد مازادو الرسوم على اساس انته طالب ب٣٠ درهم يطلع حسابك ٣٣ و٦٦ فلس انت هني تكون مضطر تدفع ٣٤ لان مستحيل يرجع لك ٣٤ فلس هههههههههه حركات وفوق هذا كله يطرشون لك السايق بدون فكه يعني حسابك طلع ٦٨ يقولك مافي درهمين وانت ساكن اخر طابق الحين بتقعد تنتضر الفكه ولا بتاكل هههههههههه يعني بين قوسين تخلي الدرهمين الباقيات وهذا كله فصوب والحركه الجديده اللي هي من الساعه الفلانيه الى الساعه الفلانيه وكل شوي الوقت يزيد يزيد وماتقدر تلغي الطلب مافي خيار ألغاء,negative,talbat
التطبيق من سيء لأسوء .. يتم إلغاء الطلب بعد ساعات من الانتظار ..ولا يوجد إمكانية للتواصل مع خدمة العملاء.. 3 ساعات لانتظار طلب كان المفروض يوصل بأقل من ساعة وبالنهاية تم إلغاء الطلب من قبل التطبيق ! الكوبونات غالبا لاتعمل المطاعم غالبا متوقفة إلغاء الطلبات بعد تأكيدها,negative,talbat
مابدي اشوف اي اعلان اليكو,negative,talbat
تطبيق سيء جدا بعد ما قبلو طلبي من الساعة ٦:٤٥ الى الساعة ٨:٠٠ لم يتم توصيل الطلب الي وتحدثت مع المساعدة وكان الرد بعتذر منك لاكن الطلب الي قدمتو ما زبط لازم تطلب مرة اخرة وانا عندي اشخاص صائمين وصار احراج الي مع الاشخاص تطبيق سيء جدآ جدآ ولا يقيم بنجمة واحدة ولا يوجد تقييم والي بدو دليل على كلامي عندي صور المحادثة,negative,talbat
اسعار التوصيل مبالغ فيها والاسعار تختلف كثيراً عن الاسعار الموجوده في المطاعم,negative,talbat
"وصل الطعام بارد بسبب عدم رغبة السائق الاول بايصال الطعام وتحويل الطلب للسائق آخر .. وعند التواصل مع الشركة لمدة سبع ايام متتالية وكل مرة بتم اخباري انه تم تحويل الملاحظة لرئيس السائقين، كانت الشركة قوية لكن الان تنحدر.",negative,talbat
حلوه ♥️,positive,talbat
لماذا التطبيق بعد فتحه يقوم باعاده تشغيل التطبيق ولا استطيع ان انفذ طلبي ارجو حل المشكلة باسرع وقت لقد قمت بعمل اخر التحديثات ولم يجدي نفعا لا اعطيه ولا نجمه,negative,talbat
لا والله رنبتغاتنقخفعحغهعغمغنتت,positive,talbat
التطبيق شي عجيب حملو,positive,talbat
تطبيق سيئ ولا يستحق اي نجمه مراوغين وغير صادقين والخدمه سيئه جدا ولا انصح بتنزيله,negative,talbat
مقبول,neutral,talbat
bad,negative,talbat
الأسعار مرتفعة بزيادة عن أسعار المطاعم الحقيقية,positive,talbat
"، م.ظ دم",positive,talbat
برنامج جميل جدا وسريع في التوصيل و معاملتهم جميله جدا 🤍💓💓اشكر جميع الذين يعملون في هذه الشركه 🤍,positive,talbat
ممتاز ومهم في أوقات حاجتكم الفردية والجماعي على ما هو مناسب لك سيصلك وشكرا.,positive,talbat
تجربه سيئه وتطبيق فاشل طلبت اوردر للسحور و٤ ساعات مجاش عملت ٤ شكاوي وفي النهايه هصوم بلا سحور هتردوا وتقولوا ياحرام معلش احنا عايزين نطور من نفسنا ويؤسفنا مرورك بتجربه زي دي وكلام طبطبه فقط هل هناك تعويض عن الضرر مفيش هل هناك ترضيه عن الاذي والضرر مفيش كل الكلام في كلام,negative,talbat
المفروض توصلوا لأى مكان فى مصر الخدمه مش حلوه,negative,talbat
اشي بخزي بوصل اغراض مش اغراضك,negative,talbat
رائع جدا,positive,talbat
روعه بجد جميييل,positive,talbat
Ms,positive,talbat
حلووووو,positive,talbat
سيئ جدا جدا مواعيد غير دقيقه,negative,talbat
